Tỉnh/TP,Tổng số ca,24 giờ qua,Tử vong
Hà Nội,1.634.743,-,1.231
TP. Hồ Chí Minh,624.250,+1,19.984
Hải Phòng,533.384,+2,138
Nghệ An,499.681,-,145
Bắc Giang,390.341,-,91
Vĩnh Phúc,373.041,-,19
Hải Dương,369.368,-,116
Quảng Ninh,353.283,-,150
Bắc Ninh,351.134,-,136
Thái Nguyên,342.928,-,112
Phú Thọ,328.265,-,97
Bình Dương,323.997,-,3.518
Nam Định,299.474,-,149
Thái Bình,296.542,-,23
Hưng Yên,242.399,-,5
Hòa Bình,238.884,-,102
Lào Cai,187.878,-,38
Thanh Hóa,174.802,-,109
Đắk Lắk,172.439,-,201
Lạng Sơn,160.218,-,84
Yên Bái,154.862,-,13
Sơn La,153.092,-,0
Cà Mau,147.347,-,357
Tuyên Quang,146.171,-,14
Tây Ninh,139.588,-,941
Bình Định,139.264,-,281
Quảng Bình,128.708,-,74
Hà Giang,122.610,-,80
Khánh Hòa,120.999,-,364
Bình Phước,119.694,-,224
Bà Rịa – Vũng Tàu,109.588,-,497
Đồng Nai,107.518,-,1.901
Đà Nẵng,106.258,-,337
Ninh Bình,103.557,+1,93
Vĩnh Long,102.537,-,829
Bến Tre,98.951,-,487
Cao Bằng,98.171,-,59
Lâm Đồng,96.521,-,141
Điện Biên,90.323,-,23
Hà Nam,89.127,-,65
Quảng Trị,85.692,-,38
Cần Thơ,76.570,-,958
Bắc Kạn,76.226,-,19
Lai Châu,75.265,-,0
Trà Vinh,74.986,-,115
Đắk Nông,73.427,-,47
Gia Lai,70.836,-,116
Hà Tĩnh,54.585,-,50
Bình Thuận,53.913,-,482
Đồng Tháp,51.431,-,1.007
Quảng Ngãi,50.009,-,127
Long An,49.853,-,1.088
Quảng Nam,49.345,-,150
Thừa Thiên Huế,47.686,-,173
Bạc Liêu,46.703,-,470
Phú Yên,43.852,-,137
An Giang,43.001,-,1.325
Kiên Giang,42.512,-,1.027
Tiền Giang,38.310,-,1.290
Sóc Trăng,34.407,-,633
Kon Tum,26.286,-,1
Hậu Giang,17.667,-,231
Ninh Thuận,8.764,-,60
